ç
"Município","ibge","latitude","longitude","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 30 a 39 anos 2010 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 30 a 39 anos 2011 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 30 a 39 anos 2012 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 30 a 39 anos 2013 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 30 a 39 anos 2014 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 30 a 39 anos 2015 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 30 a 39 anos 2016 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 30 a 39 anos 2017 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 30 a 39 anos 2018 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 30 a 39 anos 2019 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 30 a 39 anos 2020 (-)"
"Aceguá","4300034","-31.86075999999","-54.16705999999","244","261","238","277","300","278","301","337","383","297","365"
"Água Santa","4300059","-28.16720000000","-52.03099999999","135","147","120","147","149","159","173","182","228","203","192"
"Agudo","4300109","-29.6447","-53.2515","544","626","680","702","740","763","775","779","781","818","746"
"Ajuricaba","4300208","-28.23420000000","-53.77570000000","266","291","287","276","271","290","287","344","337","345","349"
"Alecrim","4300307","-27.65790000000","-54.76489999999","110","120","121","122","128","138","143","161","156","172","167"
"Alegrete","4300406","-29.79019999999","-55.79489999999","3.536","3.675","3.868","3.913","3.870","3.930","3.747","4.025","4.032","3.867","3.609"
"Alegria","4300455","-27.83449999999","-54.05570000000","82","90","83","111","112","130","116","122","109","113","104"
"Almirante Tamandaré do Sul","4300471","-28.10859999999","-52.91190000000","93","97","106","120","116","134","128","142","162","159","145"
"Alpestre","4300505","-27.2502","-53.03410000000","136","142","143","171","181","209","229","250","265","285","273"
"Alto Alegre","4300554","-28.77690000000","-52.98919999999","62","63","100","109","126","85","107","131","142","90","71"
"Alto Feliz","4300570","-29.3919","-51.3123","148","152","173","171","175","174","179","192","195","212","208"
"Alvorada","4300604","-29.99139999999","-51.0809","4.766","5.241","5.719","5.895","5.967","5.755","5.578","5.026","5.111","4.836","4.437"
"Amaral Ferrador","4300638","-30.87559999999","-52.25099999999","112","120","95","121","120","126","96","105","126","131","108"
"Ametista do Sul","4300646","-27.36070000000","-53.183","172","211","257","244","284","287","298","323","344","345","278"
"André da Rocha","4300661","-28.62829999999","-51.57970000000","66","58","57","73","75","71","62","74","71","79","89"
"Anta Gorda","4300703","-28.96979999999","-52.01019999999","234","254","245","300","317","345","363","398","392","401","376"
"Antônio Prado","4300802","-28.8565","-51.2883","727","778","838","861","870","914","913","919","945","964","973"
"Arambaré","4300851","-30.90930000000","-51.50460000000","162","185","144","132","186","165","147","162","156","152","138"
"Araricá","4300877","-29.61680000000","-50.92909999999","411","388","391","477","471","451","435","477","476","556","572"
"Aratiba","4300901","-27.3978","-52.29749999999","250","301","313","341","335","336","315","344","344","387","337"
"Arroio do Meio","4301008","-29.40139999999","-51.9557","1.497","1.549","1.615","1.814","1.763","1.896","1.857","1.858","1.955","1.999","2.147"
"Arroio do Padre","4301073","-31.4316","-52.41709999999","79","95","102","94","101","96","110","105","97","102","99"
"Arroio do Sal","4301057","-29.54390000000","-49.88949999999","352","391","417","468","458","441","473","523","540","494","498"
"Arroio do Tigre","4301206","-29.33480000000","-53.09660000000","424","455","484","528","523","513","495","569","598","610","590"
"Arroio dos Ratos","4301107","-30.08750000000","-51.72749999999","472","449","428","500","530","559","529","501","471","487","490"
"Arroio Grande","4301305","-32.23270000000","-53.08619999999","730","710","673","715","782","858","906","856","749","706","650"
"Arvorezinha","4301404","-28.87369999999","-52.17810000000","309","327","364","375","397","422","463","443","444","461","447"
"Augusto Pestana","4301503","-28.51729999999","-53.98830000000","235","256","276","374","339","349","355","357","417","408","398"
"Áurea","4301552","-27.6936","-52.0505","121","116","125","120","125","131","137","136","149","128","125"
"Bagé","4301602","-31.32969999999","-54.09989999999","5.436","6.023","6.518","6.800","6.977","7.051","6.688","6.945","6.693","6.518","6.328"
"Balneário Pinhal","4301636","-30.24190000000","-50.23360000000","360","401","399","476","429","435","417","451","435","410","444"
"Barão","4301651","-29.37250000000","-51.49490000000","411","438","453","477","494","481","457","465","514","578","592"
"Barão de Cotegipe","4301701","-27.62079999999","-52.37980000000","230","249","239","271","274","330","317","333","367","373","386"
"Barão do Triunfo","4301750","-30.38909999999","-51.73839999999","135","139","158","164","158","167","163","156","151","136","130"
"Barra do Guarita","4301859","-27.19269999999","-53.71090000000","56","48","44","56","66","55","72","77","81","75","62"
"Barra do Quaraí","4301875","-30.2029","-57.54970000000","183","177","166","180","177","186","181","212","213","206","206"
"Barra do Ribeiro","4301909","-30.29390000000","-51.30140000000","523","591","611","661","604","799","615","613","568","563","530"
"Barra do Rio Azul","4301925","-27.4068","-52.4084","42","44","48","44","53","50","60","53","59","58","59"
"Barra Funda","4301958","-27.92050000000","-53.03909999999","304","308","266","299","274","243","273","283","250","234","226"
"Barracão","4301800","-27.6739","-51.45859999999","149","189","178","187","191","200","208","220","215","194","186"
"Barros Cassal","4302006","-29.0947","-52.58359999999","216","261","235","253","255","252","228","240","253","247","230"
"Benjamin Constant do Sul","4302055","-27.50860000000","-52.59949999999","44","45","40","42","44","41","46","44","51","52","32"
"Bento Gonçalves","4302105","-29.1662","-51.51650000000","10.574","11.322","12.252","12.956","13.389","13.449","13.226","13.712","13.808","13.800","13.689"
"Boa Vista das Missões","4302154","-27.66710000000","-53.31020000000","100","109","108","115","121","110","120","110","108","98","103"
"Boa Vista do Buricá","4302204","-27.6693","-54.10819999999","421","442","409","429","462","459","455","477","455","479","482"
"Boa Vista do Cadeado","4302220","-28.5716","-53.81380000000","87","104","112","107","123","124","122","124","132","137","130"
"Boa Vista do Incra","4302238","-28.80920000000","-53.3874","103","116","111","130","125","123","113","120","115","121","123"
"Boa Vista do Sul","4302253","-29.35439999999","-51.66870000000","78","102","107","107","136","145","161","164","159","164","170"
"Bom Jesus","4302303","-28.66969999999","-50.42949999999","558","604","506","607","586","604","596","608","598","656","630"
"Bom Princípio","4302352","-29.48560000000","-51.35479999999","978","1.057","1.192","1.244","1.308","1.305","1.343","1.390","1.433","1.422","1.363"
"Bom Progresso","4302378","-27.53989999999","-53.87160000000","67","67","54","77","113","122","104","103","100","114","102"
"Bom Retiro do Sul","4302402","-29.60859999999","-51.94639999999","838","778","718","760","732","789","839","812","803","848","851"
"Boqueirão do Leão","4302451","-29.30460000000","-52.42840000000","143","143","159","194","193","180","163","191","195","226","151"
"Bossoroca","4302501","-28.72909999999","-54.90350000000","211","228","246","269","243","222","218","227","231","269","276"
"Bozano","4302584","-28.36746000000","-53.77223999999","58","53","65","60","60","60","72","78","72","62","58"
"Braga","4302600","-27.6173","-53.74049999999","119","106","99","92","41","76","93","114","99","104","93"
"Brochier","4302659","-29.5501","-51.59449999999","180","199","197","218","205","173","217","196","197","175","191"
"Butiá","4302709","-30.11789999999","-51.96009999999","878","881","899","938","959","1.015","1.069","1.020","1.004","1.109","1.053"
"Caçapava do Sul","4302808","-30.51439999999","-53.48270000000","1.486","1.382","1.387","1.488","1.563","1.589","1.661","1.722","1.727","1.757","1.735"
"Cacequi","4302907","-29.88830000000","-54.82200000000","401","385","387","387","411","444","417","396","388","356","355"
"Cachoeira do Sul","4303004","-30.03300000000","-52.89280000000","3.492","3.751","3.938","4.283","4.499","4.445","4.441","4.542","4.428","4.311","4.138"
"Cachoeirinha","4303103","-29.94719999999","-51.10159999999","10.836","12.114","12.000","12.482","12.224","12.101","11.132","10.943","10.263","10.834","10.622"
"Cacique Doble","4303202","-27.76699999999","-51.65970000000","67","73","89","94","97","111","113","115","116","125","133"
"Caibaté","4303301","-28.29050000000","-54.64540000000","187","212","242","244","252","256","264","292","292","291","306"
"Caiçara","4303400","-27.2791","-53.42569999999","97","113","117","128","135","150","143","150","162","130","176"
"Camaquã","4303509","-30.8489","-51.80429999999","2.942","2.996","3.153","3.424","3.583","3.374","3.379","3.366","3.433","3.463","3.377"
"Camargo","4303558","-28.58800000000","-52.20029999999","98","126","153","196","211","208","219","207","196","200","199"
"Cambará do Sul","4303608","-29.0474","-50.14650000000","472","463","410","437","444","448","455","429","402","417","381"
"Campestre da Serra","4303673","-28.7926","-51.09409999999","126","134","134","145","138","148","136","149","129","128","125"
"Campina das Missões","4303707","-27.98880000000","-54.84170000000","160","174","184","192","220","215","204","225","236","241","240"
"Campinas do Sul","4303806","-27.71740000000","-52.6248","178","176","189","205","232","250","234","269","287","284","253"
"Campo Bom","4303905","-29.67470000000","-51.06060000000","5.781","5.909","5.848","5.928","6.246","6.191","6.400","6.343","6.181","6.274","5.987"
"Campo Novo","4304002","-27.67920000000","-53.80519999999","221","232","233","246","298","280","268","268","292","274","265"
"Campos Borges","4304101","-28.8871","-53.00079999999","103","101","118","131","138","151","143","165","170","146","164"
"Candelária","4304200","-29.66839999999","-52.78949999999","1.043","1.037","1.082","1.167","1.205","1.335","1.331","1.406","1.425","1.447","1.147"
"Cândido Godói","4304309","-27.95149999999","-54.7517","192","217","242","249","279","282","287","305","337","333","368"
"Candiota","4304358","-31.55150000000","-53.67730000000","700","692","682","657","674","704","780","1.188","1.819","767","753"
"Canela","4304408","-29.35600000000","-50.81190000000","2.114","2.210","2.397","2.469","2.598","2.550","2.556","2.635","2.548","2.485","2.362"
"Canguçu","4304507","-31.39600000000","-52.67819999999","1.344","1.442","1.452","1.568","1.633","1.664","1.591","1.578","1.556","1.580","1.478"
"Canoas","4304606","-29.91280000000","-51.18569999999","22.817","23.908","25.538","28.285","25.815","25.518","23.343","24.448","24.821","23.233","22.801"
